t,range,guard_cmd,blocked,wheel_speed,wheel_omega,moving,lidar_range,camera_range
0.0,,0.0,0,0.0,0.0,0,,
0.02,,0.0,0,0.0,0.0,0,,
0.04,,0.0,0,0.0,0.0,0,,
0.061,,0.0,0,0.0,0.0,0,,
0.081,,0.0,0,0.0,0.0,0,,
0.101,,0.0,0,0.0,0.0,0,,
0.121,,0.0,0,0.0,0.0,0,,
0.142,,0.0,0,0.0,0.0,0,,
0.162,,0.0,0,0.0,0.0,0,,
0.182,,0.15,0,0.0,0.0,0,,
0.203,,0.15,0,0.0,0.0,0,,
0.223,,0.15,0,0.0,0.0,0,,
0.243,,0.15,0,0.0,0.0,0,,
0.264,,0.15,0,0.0,0.0,0,,
0.284,,0.15,0,0.0,0.0,0,,
0.304,,0.15,0,0.0,0.0,0,,
0.325,,0.15,0,0.0,0.0,0,,
0.345,,0.15,0,0.0,0.0,0,,
0.365,,0.15,0,0.0,0.0,0,,
0.386,,0.15,0,0.0,0.0,0,,
0.406,,0.15,0,0.0,0.0,0,,
0.426,,0.15,0,0.0,0.0,0,,
0.447,,0.15,0,0.0,0.0,0,,
0.467,,0.15,0,0.0,0.0,0,,
0.487,,0.15,0,0.0,0.0,0,,
0.508,,0.15,0,0.0,0.0,0,,
0.528,,0.15,0,0.0,0.0,0,,
0.548,,0.15,0,0.0,0.0,0,,
0.568,,0.15,0,0.0,0.0,0,,
0.589,,0.15,0,0.0,0.0,0,,
0.609,,0.15,0,0.0,0.0,0,,
0.63,,0.15,0,0.0,0.0,0,,
0.65,,0.15,0,0.0,0.0,0,,
0.67,,0.15,0,0.0,0.0,0,,
0.691,,0.15,0,0.0,0.0,0,,
0.711,,0.15,0,0.0,0.0,0,,
0.731,,0.15,0,0.0,0.0,0,,
0.751,,0.15,0,0.0,0.0,0,,
0.772,,0.15,0,0.0,0.0,0,,
0.792,,0.15,0,0.0,0.0,0,,
0.812,,0.15,0,0.0,0.0,0,,
0.833,,0.15,0,0.0,0.0,0,,
0.853,,0.15,0,0.0,0.0,0,,
0.873,,0.15,0,0.0,0.0,0,,
0.894,,0.15,0,0.0,0.0,0,,
0.914,,0.15,0,0.0,0.0,0,,
0.934,,0.15,0,0.0,0.0,0,,
0.954,,0.15,0,0.0,0.0,0,,
0.975,,0.15,0,0.0,0.0,0,,
0.995,,0.15,0,0.0,0.0,0,,
1.016,,0.15,0,0.0,0.0,0,,
1.036,,0.15,0,0.0,0.0,0,,
1.056,,0.15,0,0.0,0.0,0,,
1.076,,0.15,0,0.0,0.0,0,,
1.097,,0.15,0,0.0,0.0,0,,
1.117,,0.15,0,0.0,0.0,0,,
1.138,,0.15,0,0.0,0.0,0,,
1.158,,0.15,0,0.0,0.0,0,,
1.178,,0.15,0,0.0,0.0,0,,
1.199,,0.15,0,0.0,0.0,0,,
1.219,,0.15,0,0.0,0.0,0,,
1.239,,0.15,0,0.0,0.0,0,,
1.26,,0.15,0,0.0,0.0,0,,
1.28,,0.15,0,0.0,0.0,0,,
1.3,,0.15,0,0.0,0.0,0,,
1.321,,0.15,0,0.0,0.0,0,,
1.341,,0.15,0,0.0,0.0,0,,
1.362,,0.15,0,0.0,0.0,0,,
1.382,,0.15,0,0.0,0.0,0,,
1.402,,0.15,0,0.0,0.0,0,,
1.423,,0.15,0,0.0,0.0,0,,
1.443,,0.15,0,0.0,0.0,0,,
1.463,,0.15,0,0.0,0.0,0,,
1.484,,0.15,0,0.0,0.0,0,,
1.504,,0.15,0,0.0,0.0,0,,
1.525,,0.15,0,0.0,0.0,0,,
1.545,,0.15,0,0.0,0.0,0,,
1.565,,0.15,0,0.0,0.0,0,,
1.586,,0.15,0,0.0,0.0,0,,
1.606,,0.15,0,0.0,0.0,0,,
1.626,,0.15,0,0.0,0.0,0,,
1.646,,0.15,0,0.0,0.0,0,,
1.667,,0.15,0,0.0,0.0,0,,
1.687,,0.15,0,0.0,0.0,0,,
1.707,,0.15,0,0.0,0.0,0,,
1.728,,0.15,0,0.0,0.0,0,,
1.748,,0.15,0,0.0,0.0,0,,
1.768,,0.15,0,0.0,0.0,0,,
1.789,,0.15,0,0.0,0.0,0,,
1.809,,0.15,0,0.0,0.0,0,,
1.829,0.514,0.15,0,0.0,0.0,0,,
1.85,0.514,0.15,0,0.0,0.0,0,,
1.87,0.514,0.15,0,0.0,0.0,0,,
1.891,0.514,0.15,0,0.0,0.0,0,,
1.911,0.514,0.15,0,0.0,0.0,0,,
1.932,0.514,0.15,0,0.0,0.0,0,,
1.952,0.514,0.15,0,0.0,0.0,0,,
1.973,0.514,0.15,0,0.0,0.0,0,,
1.993,0.514,0.15,0,0.0,0.0,0,,
2.013,0.514,0.15,0,0.0,0.0,0,,
2.034,0.514,0.15,0,0.0,0.0,0,,
2.054,0.514,0.15,0,0.0,0.0,0,,
2.075,0.514,0.15,0,0.0,0.0,0,,
2.095,0.514,0.15,0,0.0,0.0,0,,
2.116,0.514,0.15,0,0.0,0.0,0,,
2.136,0.514,0.15,0,0.0,0.0,0,,
2.156,0.514,0.15,0,0.0,0.0,0,,
2.177,0.514,0.15,0,0.0,0.0,0,,
2.197,0.514,0.15,0,0.0,0.0,0,,
2.218,0.514,0.15,0,0.0,0.0,0,,
2.238,0.514,0.15,0,0.0,0.0,0,,
2.258,0.514,0.15,0,0.0,0.0,0,,
2.279,0.514,0.15,0,0.0,0.0,0,,
2.299,0.514,0.15,0,0.0,0.0,0,,
2.319,0.514,0.15,0,0.0,0.0,0,,
2.34,0.514,0.15,0,0.0,0.0,0,,
2.36,0.514,0.15,0,0.0,0.0,0,,
2.381,0.514,0.15,0,0.0,0.0,0,,
2.401,0.514,0.15,0,0.0,0.0,0,,
2.422,0.514,0.15,0,0.0,0.0,0,,
2.442,0.514,0.15,0,0.0,0.0,0,,
2.462,0.514,0.15,0,0.0,0.0,0,,
2.483,0.514,0.15,0,0.0,0.0,0,,
2.503,0.514,0.15,0,0.0,0.0,0,,
2.524,0.514,0.15,0,0.0,0.0,0,,
2.544,0.514,0.15,0,0.0,0.0,0,,
2.564,0.514,0.15,0,0.3036,1.5098,1,,
2.585,0.514,0.15,0,0.2965,1.4745,1,,
2.605,0.514,0.15,0,0.2965,1.4745,1,,
2.625,0.514,0.15,0,0.2965,1.4745,1,,
2.646,0.514,0.15,0,0.2965,1.4745,1,,
2.666,0.514,0.15,0,0.2965,1.4745,1,,
2.687,0.514,0.15,0,0.2868,1.4255,1,,
2.707,0.514,0.15,0,0.2868,1.4255,1,,
2.728,0.514,0.15,0,0.2868,1.4255,1,0.536,0.55
2.748,0.514,0.15,0,0.2868,1.4255,1,0.536,0.55
2.768,0.514,0.15,0,0.2868,1.4255,1,0.536,0.55
2.789,0.514,0.15,0,0.2932,1.4622,1,0.536,0.55
2.809,0.514,0.15,0,0.2932,1.4622,1,0.536,0.55
