t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,0.419,0,0.472,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,0.417,0,0.472,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,0.419,0,0.472,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,0.106,0,0.472,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.106,0,0.472,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,0.419,0,0.469,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
3.21,0.105,0,0.469,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
3.41,0.419,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.002
3.61,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
3.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.002
4.01,0.104,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
4.21,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
4.41,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
4.61,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.004
4.81,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
5.01,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
5.21,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
5.41,0.419,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
5.61,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.000
5.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.003
6.01,0.415,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.003
6.21,0.416,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.001
6.41,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
6.61,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
6.81,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.001
7.01,0.415,0,0.472,0.557,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.001
7.21,0.417,0,0.472,0.557,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.007
7.41,0.105,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.015
7.61,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.000
7.81,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003
8.01,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003
8.21,0.106,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
8.41,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.003
8.61,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
