[    0.0s] === run started 20260723_035255 ===
[  216.3s] CAMERA/LIDAR DISAGREE - lidar=0.62 m  camera=0.41 m  delta=-0.21 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  309.8s] CAMERA/LIDAR DISAGREE - lidar=0.65 m  camera=0.43 m  delta=-0.22 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  324.3s] CAMERA/LIDAR DISAGREE - lidar=0.65 m  camera=0.43 m  delta=-0.23 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  329.3s] CAMERA/LIDAR DISAGREE - lidar=0.73 m  camera=0.40 m  delta=-0.34 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  329.8s] CAMERA/LIDAR DISAGREE - lidar=0.74 m  camera=0.36 m  delta=-0.38 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  330.3s] CAMERA/LIDAR DISAGREE - lidar=0.69 m  camera=0.34 m  delta=-0.35 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  332.3s] CAMERA/LIDAR DISAGREE - lidar=0.74 m  camera=0.35 m  delta=-0.39 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  359.3s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.46 m  delta=-0.22 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  359.8s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.33 m  delta=-0.35 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  360.3s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.42 m  delta=-0.26 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  364.3s] CAMERA/LIDAR DISAGREE - lidar=0.65 m  camera=0.42 m  delta=-0.23 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  364.8s] CAMERA/LIDAR DISAGREE - lidar=0.65 m  camera=0.42 m  delta=-0.23 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  367.8s] CAMERA/LIDAR DISAGREE - lidar=0.66 m  camera=0.39 m  delta=-0.27 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  368.3s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.31 m  delta=-0.36 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  382.8s] CAMERA/LIDAR DISAGREE - lidar=0.69 m  camera=0.33 m  delta=-0.35 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  384.8s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.43 m  delta=-0.24 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  385.3s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.46 m  delta=-0.22 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  451.8s] CAMERA/LIDAR DISAGREE - lidar=0.69 m  camera=0.35 m  delta=-0.34 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  452.3s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.32 m  delta=-0.35 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  452.8s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.32 m  delta=-0.35 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  453.3s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.35 m  delta=-0.32 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  453.8s] CAMERA/LIDAR DISAGREE - lidar=0.67 m  camera=0.35 m  delta=-0.32 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  454.3s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.35 m  delta=-0.33 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  454.8s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.35 m  delta=-0.33 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  455.3s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.36 m  delta=-0.32 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  455.8s] CAMERA/LIDAR DISAGREE - lidar=0.68 m  camera=0.42 m  delta=-0.26 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  565.8s] CAMERA/LIDAR DISAGREE - lidar=0.75 m  camera=0.32 m  delta=-0.42 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  576.3s] CAMERA/LIDAR DISAGREE - lidar=0.61 m  camera=0.31 m  delta=-0.30 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  576.8s] CAMERA/LIDAR DISAGREE - lidar=0.64 m  camera=0.31 m  delta=-0.33 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
